Countries;Continent;NodeSusceptance;NodeConductance;NodeMinVoltage;NodeMaxVoltage
ES00282;Continent;0.0;0.0;118.8;145.20000000000002
ES00283;Continent;0.0;0.0;198.0;242.00000000000003
ES00284;Continent;0.0;0.0;198.0;242.00000000000003
ES00285;Continent;0.0;0.0;198.0;242.00000000000003
ES00286;Continent;0.0;0.0;198.0;242.00000000000003
ES00287;Continent;0.0;0.0;198.0;242.00000000000003
ES00288;Continent;0.0;0.0;198.0;242.00000000000003
ES00289;Continent;0.0;0.0;198.0;242.00000000000003
ES00290;Continent;0.0;0.0;198.0;242.00000000000003
ES00291;Continent;0.0;0.0;198.0;242.00000000000003
ES00292;Continent;0.0;0.0;198.0;242.00000000000003
ES00293;Continent;0.0;0.0;360.0;440.00000000000006
ES00294;Continent;0.0;0.0;198.0;242.00000000000003
ES00295;Continent;0.0;0.0;360.0;440.00000000000006
ES00296;Continent;0.0;0.0;198.0;242.00000000000003
ES00297;Continent;0.0;0.0;360.0;440.00000000000006
ES00298;Continent;0.0;0.0;198.0;242.00000000000003
ES00299;Continent;0.0;0.0;198.0;242.00000000000003
ES00300;Continent;0.0;0.0;118.8;145.20000000000002
ES00301;Continent;0.0;0.0;198.0;242.00000000000003
ES00302;Continent;0.0;0.0;118.8;145.20000000000002
ES00303;Continent;0.0;0.0;198.0;242.00000000000003
ES00304;Continent;0.0;0.0;198.0;242.00000000000003
ES00305;Continent;0.0;0.0;198.0;242.00000000000003
ES00306;Continent;0.0;0.0;198.0;242.00000000000003
ES00307;Continent;0.0;0.0;198.0;242.00000000000003
ES00308;Continent;0.0;0.0;198.0;242.00000000000003
ES00309;Continent;0.0;0.0;198.0;242.00000000000003
ES00310;Continent;0.0;0.0;198.0;242.00000000000003
ES00311;Continent;0.0;0.0;198.0;242.00000000000003
ES00312;Continent;0.0;0.0;198.0;242.00000000000003
ES00313;Continent;0.0;0.0;198.0;242.00000000000003
ES00314;Continent;0.0;0.0;198.0;242.00000000000003
ES00315;Continent;0.0;0.0;198.0;242.00000000000003
ES00316;Continent;0.0;0.0;198.0;242.00000000000003
ES00317;Continent;0.0;0.0;198.0;242.00000000000003
ES00318;Continent;0.0;0.0;198.0;242.00000000000003
ES00319;Continent;0.0;0.0;198.0;242.00000000000003
ES00320;Continent;0.0;0.0;198.0;242.00000000000003
ES00321;Continent;0.0;0.0;198.0;242.00000000000003
ES00322;Continent;0.0;0.0;198.0;242.00000000000003
ES00323;Continent;0.0;0.0;198.0;242.00000000000003
ES00324;Continent;0.0;0.0;360.0;440.00000000000006
ES00325;Continent;0.0;0.0;198.0;242.00000000000003
ES00326;Continent;0.0;0.0;360.0;440.00000000000006
ES00327;Continent;0.0;0.0;198.0;242.00000000000003
ES00328;Continent;0.0;0.0;198.0;242.00000000000003
ES00329;Continent;0.0;0.0;198.0;242.00000000000003
ES00330;Continent;0.0;0.0;360.0;440.00000000000006
ES00331;Continent;0.0;0.0;360.0;440.00000000000006
ES00332;Continent;0.0;0.0;198.0;242.00000000000003
ES00333;Continent;0.0;0.0;198.0;242.00000000000003
ES00334;Continent;0.0;0.0;198.0;242.00000000000003
ES00335;Continent;0.0;0.0;198.0;242.00000000000003
ES00336;Continent;0.0;0.0;198.0;242.00000000000003
ES00337;Continent;0.0;0.0;360.0;440.00000000000006
ES00338;Continent;0.0;0.0;198.0;242.00000000000003
ES00339;Continent;0.0;0.0;198.0;242.00000000000003
ES00340;Continent;0.0;0.0;198.0;242.00000000000003
ES00341;Continent;0.0;0.0;198.0;242.00000000000003
ES00342;Continent;0.0;0.0;198.0;242.00000000000003
ES00343;Continent;0.0;0.0;198.0;242.00000000000003
ES00344;Continent;0.0;0.0;198.0;242.00000000000003
ES00345;Continent;0.0;0.0;198.0;242.00000000000003
ES00346;Continent;0.0;0.0;198.0;242.00000000000003
ES00347;Continent;0.0;0.0;198.0;242.00000000000003
ES00348;Continent;0.0;0.0;360.0;440.00000000000006
ES00349;Continent;0.0;0.0;360.0;440.00000000000006
ES00350;Continent;0.0;0.0;360.0;440.00000000000006
ES00351;Continent;0.0;0.0;360.0;440.00000000000006
ES00352;Continent;0.0;0.0;360.0;440.00000000000006
ES00353;Continent;0.0;0.0;360.0;440.00000000000006
ES00354;Continent;0.0;0.0;360.0;440.00000000000006
ES00355;Continent;0.0;0.0;198.0;242.00000000000003
ES00356;Continent;0.0;0.0;198.0;242.00000000000003
ES00357;Continent;0.0;0.0;198.0;242.00000000000003
ES00358;Continent;0.0;0.0;198.0;242.00000000000003
ES00359;Continent;0.0;0.0;360.0;440.00000000000006
ES00360;Continent;0.0;0.0;360.0;440.00000000000006
ES00361;Continent;0.0;0.0;198.0;242.00000000000003
ES00362;Continent;0.0;0.0;360.0;440.00000000000006
ES00363;Continent;0.0;0.0;360.0;440.00000000000006
ES00364;Continent;0.0;0.0;360.0;440.00000000000006
ES00365;Continent;0.0;0.0;360.0;440.00000000000006
ES00366;Continent;0.0;0.0;360.0;440.00000000000006
ES00367;Continent;0.0;0.0;198.0;242.00000000000003
ES00368;Continent;0.0;0.0;198.0;242.00000000000003
ES00369;Continent;0.0;0.0;198.0;242.00000000000003
ES00370;Continent;0.0;0.0;360.0;440.00000000000006
ES00371;Continent;0.0;0.0;118.8;145.20000000000002
ES00372;Continent;0.0;0.0;198.0;242.00000000000003
ES00373;Continent;0.0;0.0;118.8;145.20000000000002
ES00374;Continent;0.0;0.0;198.0;242.00000000000003
ES00375;Continent;0.0;0.0;198.0;242.00000000000003
ES00376;Continent;0.0;0.0;360.0;440.00000000000006
ES00377;Continent;0.0;0.0;360.0;440.00000000000006
ES00378;Continent;0.0;0.0;198.0;242.00000000000003
ES00379;Continent;0.0;0.0;360.0;440.00000000000006
ES00380;Continent;0.0;0.0;360.0;440.00000000000006
ES00381;Continent;0.0;0.0;198.0;242.00000000000003
ES00382;Continent;0.0;0.0;198.0;242.00000000000003
ES00383;Continent;0.0;0.0;198.0;242.00000000000003
ES00384;Continent;0.0;0.0;198.0;242.00000000000003
ES00385;Continent;0.0;0.0;198.0;242.00000000000003
ES00386;Continent;0.0;0.0;360.0;440.00000000000006
ES00387;Continent;0.0;0.0;198.0;242.00000000000003
ES00388;Continent;0.0;0.0;198.0;242.00000000000003
ES00389;Continent;0.0;0.0;198.0;242.00000000000003
ES00390;Continent;0.0;0.0;360.0;440.00000000000006
ES00391;Continent;0.0;0.0;198.0;242.00000000000003
ES00392;Continent;0.0;0.0;360.0;440.00000000000006
ES00393;Continent;0.0;0.0;360.0;440.00000000000006
ES00394;Continent;0.0;0.0;198.0;242.00000000000003
ES00395;Continent;0.0;0.0;198.0;242.00000000000003
ES00396;Continent;0.0;0.0;198.0;242.00000000000003
ES00397;Continent;0.0;0.0;360.0;440.00000000000006
