Name;Zone;NumberUnits;MaxPower;MinPower;MaxPowerProfile;Energy;Kappa;Capacity;MaxAddedCapacity;MaxRetCapacity;InvestmentCost
G0336;ES00432;1;18.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;18.0;2.0;0.0;1.0595e6
G0339;ES00439;1;16.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;16.0;2.0;0.0;1.0595e6
G0348;ES00452;1;73.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;73.0;8.0;0.0;1.0595e6
G0353;ES00459;1;41.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;41.0;5.0;0.0;1.0595e6
G0354;ES00460;1;100.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;100.0;10.0;0.0;1.0595e6
G0356;ES00461;1;180.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;180.0;18.0;0.0;1.0595e6
G0358;ES00462;1;84.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;84.0;9.0;0.0;1.0595e6
G0360;ES00463;1;107.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;107.0;11.0;0.0;1.0595e6
G0361;ES00464;1;13.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;13.0;2.0;0.0;1.0595e6
G0362;ES00465;1;124.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;124.0;13.0;0.0;1.0595e6
G0364;ES00466;1;16.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;16.0;2.0;0.0;1.0595e6
G0368;ES00472;1;23.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;23.0;3.0;0.0;1.0595e6
G0371;ES00476;1;203.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;203.0;21.0;0.0;1.0595e6
G0383;ES00481;1;109.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;109.0;11.0;0.0;1.0595e6
G0391;ES00494;1;13.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;13.0;2.0;0.0;1.0595e6
G0393;ES00495;1;95.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;95.0;10.0;0.0;1.0595e6
G0396;ES00497;1;65.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;65.0;7.0;0.0;1.0595e6
G0397;ES00498;1;58.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;58.0;6.0;0.0;1.0595e6
G0401;ES00506;1;14.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;14.0;2.0;0.0;1.0595e6
G0404;ES00510;1;91.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;91.0;10.0;0.0;1.0595e6
G0411;ES00519;1;92.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;92.0;10.0;0.0;1.0595e6
G0415;ES00522;1;158.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;158.0;16.0;0.0;1.0595e6
G0416;ES00523;1;18.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;18.0;2.0;0.0;1.0595e6
G0421;ES00531;1;42.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;42.0;5.0;0.0;1.0595e6
G0422;ES00532;1;137.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;137.0;14.0;0.0;1.0595e6
G0425;ES00534;1;351.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;351.0;36.0;0.0;1.0595e6
G0429;ES00538;1;30.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;30.0;3.0;0.0;1.0595e6
G0434;ES00540;1;39.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;39.0;4.0;0.0;1.0595e6
G0435;ES00544;1;710.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;710.0;71.0;0.0;1.0595e6
G0436;ES00545;1;341.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;341.0;35.0;0.0;1.0595e6
G0438;ES00549;1;270.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;270.0;27.0;0.0;1.0595e6
G0439;ES00551;1;183.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;183.0;19.0;0.0;1.0595e6
G0440;ES00552;1;151.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;151.0;16.0;0.0;1.0595e6
G0442;ES00553;1;297.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;297.0;30.0;0.0;1.0595e6
G0449;ES00560;1;282.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;282.0;29.0;0.0;1.0595e6
G0451;ES00562;1;70.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;70.0;7.0;0.0;1.0595e6
G0453;ES00564;1;35.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;35.0;4.0;0.0;1.0595e6
G0457;ES00570;1;180.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;180.0;18.0;0.0;1.0595e6
G0463;ES00585;1;20.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;20.0;2.0;0.0;1.0595e6
G0465;ES00596;1;152.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;152.0;16.0;0.0;1.0595e6
G0467;ES00597;1;36.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;36.0;4.0;0.0;1.0595e6
G0468;ES00599;1;70.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;70.0;7.0;0.0;1.0595e6
G0469;ES00609;1;40.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;40.0;4.0;0.0;1.0595e6
G0471;ES00610;1;369.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;369.0;37.0;0.0;1.0595e6
G0476;ES00614;1;90.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;90.0;9.0;0.0;1.0595e6
G0477;ES00615;1;260.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;260.0;26.0;0.0;1.0595e6
G0479;ES00621;1;117.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;117.0;12.0;0.0;1.0595e6
G0482;ES00628;1;32.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;32.0;4.0;0.0;1.0595e6
G0483;ES00629;1;54.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;54.0;6.0;0.0;1.0595e6
G0484;ES00630;1;76.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;76.0;8.0;0.0;1.0595e6
G0486;ES00633;1;24.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;24.0;3.0;0.0;1.0595e6
G0487;ES00636;1;42.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;42.0;5.0;0.0;1.0595e6
G0488;ES00639;1;626.5;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;626.5;63.0;0.0;1.0595e6
G0490;ES00640;1;171.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;171.0;18.0;0.0;1.0595e6
G0491;ES00641;1;92.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;92.0;10.0;0.0;1.0595e6
G0492;ES00642;1;16.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;16.0;2.0;0.0;1.0595e6
G0496;ES00648;1;47.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;47.0;5.0;0.0;1.0595e6
G0502;ES00653;1;48.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;48.0;5.0;0.0;1.0595e6
G0506;ES00658;1;114.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;114.0;12.0;0.0;1.0595e6
G0508;ES00664;1;52.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;52.0;6.0;0.0;1.0595e6
G0509;ES00665;1;212.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;212.0;22.0;0.0;1.0595e6
G0511;ES00667;1;21.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;21.0;3.0;0.0;1.0595e6
G0512;ES00668;1;31.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;31.0;4.0;0.0;1.0595e6
G0514;ES00669;1;58.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;58.0;6.0;0.0;1.0595e6
G0517;ES00672;1;50.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;50.0;5.0;0.0;1.0595e6
G0520;ES00677;1;43.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;43.0;5.0;0.0;1.0595e6
G0532;ES00691;1;103.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;103.0;11.0;0.0;1.0595e6
G0536;ES00697;1;123.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;123.0;13.0;0.0;1.0595e6
G0537;ES00698;1;55.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;55.0;6.0;0.0;1.0595e6
G0539;ES00700;1;14.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;14.0;2.0;0.0;1.0595e6
G0540;ES00701;1;26.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;26.0;3.0;0.0;1.0595e6
G0542;ES00702;1;14.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;14.0;2.0;0.0;1.0595e6
G0544;ES00706;1;138.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;138.0;14.0;0.0;1.0595e6
G0548;ES00708;1;10.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;10.0;1.0;0.0;1.0595e6
G0549;ES00710;1;40.0;0.0;EDF__WindOnshore-LoadFactor-PresentClimate-ES__13082019__13082019__v1.csv;0.0;1.0;40.0;4.0;0.0;1.0595e6
