Name;StartLine;EndLine;MaxPowerFlow;MinPowerFlow;Susceptance;MaxAddedCapacity;MaxRetCapacity;InvestmentCost
LLTGES0239a;ES00265;ES00261;854.105;-854.105;0.258101386649271;500.0;0.0;100.0
LLTGES0240a;ES00263;ES00266;1708.211;-1708.211;5.836155555649271;500.0;0.0;100.0
LLTGES0241a;ES00267;ES00264;6211.676;-6211.676;1.7099128653426938;500.0;0.0;100.0
LLTGES0242;ES00761;ES00760;1552.919;-1552.919;0.0247878636491445;500.0;0.0;100.0
LLTGES0243;ES00270;ES00886;1552.919;-1552.919;0.3989512835722371;500.0;0.0;100.0
LLTGES0244;ES00080;ES00768;1552.919;-1552.919;0.8292900387298674;500.0;0.0;100.0
LLTGES0245;ES00768;ES00240;1552.919;-1552.919;0.0523248972836742;500.0;0.0;100.0
LLTGES0246a;ES00271;ES00769;3105.838;-3105.838;0.8035046914875145;500.0;0.0;100.0
LLTGES0247a;ES00163;ES00786;3105.838;-3105.838;0.21187362534066434;500.0;0.0;100.0
LLTGES0248;ES00272;ES00772;1552.919;-1552.919;0.1250146968497272;500.0;0.0;100.0
LLTGES0249;ES00273;ES00987;427.053;-427.053;0.02547472826850016;500.0;0.0;100.0
LLTGES0250;ES00559;ES00104;1552.919;-1552.919;0.12397000578970163;500.0;0.0;100.0
LLTGES0251;ES00273;ES00771;427.053;-427.053;0.07465642912892467;500.0;0.0;100.0
LLTGES0252;ES00775;ES00770;427.053;-427.053;0.20775651279050555;500.0;0.0;100.0
LLTGES0253a;ES00274;ES00276;6211.676;-6211.676;0.6239051225958349;500.0;0.0;100.0
LLTGES0254;ES00681;ES00683;300.953;-300.953;0.0;500.0;0.0;100.0
LLTGES0255a;ES00238;ES00264;3105.838;-3105.838;2.033233952825005;500.0;0.0;100.0
LLTGES0256a;ES00237;ES00263;854.105;-854.105;1.62197724198882;500.0;0.0;100.0
LLTGES0257a;ES00124;ES00277;3105.838;-3105.838;0.15474100394302723;500.0;0.0;100.0
