Type;Zone;value;Profile_Timeserie
Total;ES00355;111738.563932906;Profile-Iberia2.csv
Total;ES00356;162008.359518052;Profile-Iberia2.csv
Total;ES00357;48437.07836275;Profile-Iberia2.csv
Total;ES00358;30288.785927596;Profile-Iberia2.csv
Total;ES00359;54830.315213567;Profile-Iberia2.csv
Total;ES00360;6908.1452966;Profile-Iberia2.csv
Total;ES00361;174650.49415736302;Profile-Iberia2.csv
Total;ES00362;0.0;Profile-Iberia2.csv
Total;ES00363;21959.667168;Profile-Iberia2.csv
Total;ES00364;913920.401902753;Profile-Iberia2.csv
Total;ES00365;276936.107614044;Profile-Iberia2.csv
Total;ES00366;11071.3321972;Profile-Iberia2.csv
Total;ES00367;216520.03081115;Profile-Iberia2.csv
Total;ES00368;50355.118041955;Profile-Iberia2.csv
Total;ES00369;0.0;Profile-Iberia2.csv
Total;ES00370;805999.84635215;Profile-Iberia2.csv
Total;ES00371;0.0;Profile-Iberia2.csv
Total;ES00372;12283.688822099999;Profile-Iberia2.csv
Total;ES00373;27664.834447553003;Profile-Iberia2.csv
Total;ES00374;0.0;Profile-Iberia2.csv
Total;ES00375;144898.805089251;Profile-Iberia2.csv
Total;ES00376;0.0;Profile-Iberia2.csv
Total;ES00377;11620.3238764;Profile-Iberia2.csv
Total;ES00378;0.0;Profile-Iberia2.csv
Total;ES00379;71720.959210287;Profile-Iberia2.csv
Total;ES00380;19969.5723309;Profile-Iberia2.csv
Total;ES00381;15005.7725648;Profile-Iberia2.csv
Total;ES00382;183144.310420719;Profile-Iberia2.csv
Total;ES00383;254997.256380547;Profile-Iberia2.csv
Total;ES00384;56855.637016748995;Profile-Iberia2.csv
Total;ES00385;0.0;Profile-Iberia2.csv
Total;ES00386;8006.1286549999995;Profile-Iberia2.csv
Total;ES00387;225845.569468494;Profile-Iberia2.csv
Total;ES00388;28875.361100189002;Profile-Iberia2.csv
Total;ES00389;27790.187547637;Profile-Iberia2.csv
Total;ES00390;169438.73314949102;Profile-Iberia2.csv
Total;ES00391;48639.976537521005;Profile-Iberia2.csv
Total;ES00392;0.0;Profile-Iberia2.csv
Total;ES00393;200166.483673914;Profile-Iberia2.csv
Total;ES00394;328267.744605376;Profile-Iberia2.csv
Total;ES00395;37056.023359868;Profile-Iberia2.csv
Total;ES00396;133380.044673503;Profile-Iberia2.csv
Total;ES00397;0.0;Profile-Iberia2.csv
Total;ES00398;331899.553309817;Profile-Iberia2.csv
Total;ES00399;34375.113993107996;Profile-Iberia2.csv
Total;ES00400;13130.050994199999;Profile-Iberia2.csv
Total;ES00401;164306.80468163601;Profile-Iberia2.csv
Total;ES00402;544371.227979933;Profile-Iberia2.csv
Total;ES00403;11185.7054637;Profile-Iberia2.csv
Total;ES00404;48493.350009868;Profile-Iberia2.csv
Total;ES00405;84479.068341829;Profile-Iberia2.csv
Total;ES00406;80003.642423684;Profile-Iberia2.csv
Total;ES00407;7480.0116291;Profile-Iberia2.csv
Total;ES00408;0.0;Profile-Iberia2.csv
Total;ES00409;3362.5740351;Profile-Iberia2.csv
Total;ES00410;31765.802291177;Profile-Iberia2.csv
Total;ES00411;333028.874943238;Profile-Iberia2.csv
Total;ES00412;13290.1735673;Profile-Iberia2.csv
Total;ES00413;39733.2727821;Profile-Iberia2.csv
Total;ES00414;6084.6577778;Profile-Iberia2.csv
Total;ES00415;0.0;Profile-Iberia2.csv
Total;ES00416;39661.217624205;Profile-Iberia2.csv
Total;ES00417;7068.2678697;Profile-Iberia2.csv
Total;ES00418;0.0;Profile-Iberia2.csv
Total;ES00419;116353.75398271401;Profile-Iberia2.csv
Total;ES00420;124080.811867454;Profile-Iberia2.csv
Total;ES00421;405322.38672562403;Profile-Iberia2.csv
Total;ES00422;1.374805778987143e6;Profile-Iberia2.csv
Total;ES00423;356764.53019345005;Profile-Iberia2.csv
Total;ES00424;29933.77130838;Profile-Iberia2.csv
Total;ES00425;2744.958396;Profile-Iberia2.csv
Total;ES00426;129374.006641074;Profile-Iberia2.csv
Total;ES00427;572559.891988056;Profile-Iberia2.csv
Total;ES00428;1.752529439013251e6;Profile-Iberia2.csv
Total;ES00429;63250.932586363;Profile-Iberia2.csv
Total;ES00430;8417.8724144;Profile-Iberia2.csv
Total;ES00431;0.0;Profile-Iberia2.csv
Total;ES00432;43122.381415028;Profile-Iberia2.csv
Total;ES00433;16195.2545364;Profile-Iberia2.csv
Total;ES00434;274015.70062723296;Profile-Iberia2.csv
Total;ES00435;0.0;Profile-Iberia2.csv
Total;ES00436;317605.868702246;Profile-Iberia2.csv
Total;ES00437;129886.17012846099;Profile-Iberia2.csv
Total;ES00438;458777.47778279503;Profile-Iberia2.csv
Total;ES00439;51920.88806034;Profile-Iberia2.csv
Total;ES00440;307665.688110731;Profile-Iberia2.csv
Total;ES00441;0.0;Profile-Iberia2.csv
Total;ES00442;107923.300508999;Profile-Iberia2.csv
Total;ES00443;0.0;Profile-Iberia2.csv
Total;ES00444;37769.941289361;Profile-Iberia2.csv
Total;ES00445;453195.376137996;Profile-Iberia2.csv
Total;ES00446;1.215230367594079e6;Profile-Iberia2.csv
Total;ES00447;101583.361600371;Profile-Iberia2.csv
Total;ES00448;918927.892256656;Profile-Iberia2.csv
Total;ES00449;203273.547831653;Profile-Iberia2.csv
Total;ES00450;587891.1708693149;Profile-Iberia2.csv
Total;ES00451;1.000996658380264e6;Profile-Iberia2.csv
Total;ES00452;124307.499681657;Profile-Iberia2.csv
Total;ES00453;204404.69943733801;Profile-Iberia2.csv
Total;ES00454;108173.549216101;Profile-Iberia2.csv
Total;ES00455;28509.824140455;Profile-Iberia2.csv
Total;ES00456;11963.4436759;Profile-Iberia2.csv
Total;ES00457;10133.4714119;Profile-Iberia2.csv
Total;ES00458;567445.805749775;Profile-Iberia2.csv
Total;ES00459;221968.086987611;Profile-Iberia2.csv
Total;ES00460;69373.791035174;Profile-Iberia2.csv
Total;ES00461;285428.551398202;Profile-Iberia2.csv
Total;ES00462;45166.00294085;Profile-Iberia2.csv
Total;ES00463;12192.1902089;Profile-Iberia2.csv
Total;ES00464;19763.7004512;Profile-Iberia2.csv
Total;ES00465;411.7437594;Profile-Iberia2.csv
Total;ES00466;32980.903874473;Profile-Iberia2.csv
Total;ES00467;60032.926360119;Profile-Iberia2.csv
Total;ES00468;5878.7858981;Profile-Iberia2.csv
Total;ES00469;2.0463792940238481e6;Profile-Iberia2.csv
Total;ES00470;0.0;Profile-Iberia2.csv
Total;ES00471;260890.22456369302;Profile-Iberia2.csv
Total;ES00472;307823.980711567;Profile-Iberia2.csv
Total;ES00473;431075.815143429;Profile-Iberia2.csv
Total;ES00474;500417.810410516;Profile-Iberia2.csv
Total;ES00475;66892.34864519;Profile-Iberia2.csv
Total;ES00476;79360.63591942101;Profile-Iberia2.csv
Total;ES00477;333050.148370807;Profile-Iberia2.csv
Total;ES00478;0.0;Profile-Iberia2.csv
Total;ES00479;48039.745634929;Profile-Iberia2.csv
Total;ES00480;753526.306668082;Profile-Iberia2.csv
Total;ES00481;297633.093919884;Profile-Iberia2.csv
Total;ES00482;292920.229100485;Profile-Iberia2.csv
Total;ES00483;0.0;Profile-Iberia2.csv
Total;ES00484;21433.5501421;Profile-Iberia2.csv
Total;ES00485;176243.485013175;Profile-Iberia2.csv
Total;ES00486;0.0;Profile-Iberia2.csv
Total;ES00487;207573.067665921;Profile-Iberia2.csv
Total;ES00488;0.0;Profile-Iberia2.csv
Total;ES00489;0.0;Profile-Iberia2.csv
Total;ES00490;297128.707814619;Profile-Iberia2.csv
Total;ES00491;234945.33529776701;Profile-Iberia2.csv
Total;ES00492;47393.307932671;Profile-Iberia2.csv
Total;ES00493;87271.148523627;Profile-Iberia2.csv
Total;ES00494;238994.3776784;Profile-Iberia2.csv
Total;ES00495;324395.065801686;Profile-Iberia2.csv
Total;ES00496;312849.999534643;Profile-Iberia2.csv
Total;ES00497;0.0;Profile-Iberia2.csv
Total;ES00498;323330.479437104;Profile-Iberia2.csv
Total;ES00499;390811.850404769;Profile-Iberia2.csv
Total;ES00500;0.0;Profile-Iberia2.csv
Total;ES00501;119758.646126419;Profile-Iberia2.csv
Total;ES00502;0.0;Profile-Iberia2.csv
Total;ES00503;666083.598244705;Profile-Iberia2.csv
Total;ES00504;211083.411961339;Profile-Iberia2.csv
Total;ES00505;256288.301812799;Profile-Iberia2.csv
Total;ES00506;341868.55596449;Profile-Iberia2.csv
Total;ES00507;530559.9698104591;Profile-Iberia2.csv
Total;ES00508;0.0;Profile-Iberia2.csv
